iter	Passed	Remaining
724	840	318
725	841	317
726	842	316
727	843	314
728	843	313
729	844	312
730	845	311
731	846	310
732	847	308
733	848	307
734	849	306
735	850	304
736	850	303
737	851	302
738	852	301
739	853	299
740	853	298
741	854	297
742	855	295
743	855	294
744	856	293
745	857	291
746	858	290
747	859	289
748	860	288
749	860	286
750	861	285
751	862	284
752	863	283
753	864	282
754	865	280
755	866	279
756	866	278
757	867	276
758	868	275
759	869	274
760	869	273
761	870	271
762	871	270
763	872	269
764	872	268
765	873	266
766	875	265
767	875	264
768	876	263
769	877	262
770	878	260
771	878	259
772	879	258
773	880	257
774	881	255
775	881	254
776	882	253
777	883	252
778	884	250
779	885	249
780	885	248
781	886	247
782	887	245
783	888	244
784	889	243
785	890	242
786	891	241
787	892	240
788	893	238
789	894	237
790	895	236
791	896	235
792	896	234
793	897	232
794	898	231
795	899	230
796	899	229
797	900	227
798	901	226
799	902	225
800	903	224
801	904	223
802	904	222
803	905	220
804	906	219
805	907	218
806	908	217
807	909	216
808	910	214
809	910	213
810	911	212
811	912	211
812	913	210
813	914	208
814	914	207
815	915	206
816	916	205
817	917	204
818	918	202
819	919	201
820	920	200
821	921	199
822	922	198
823	922	197
824	923	195
825	924	194
826	925	193
827	926	192
828	927	191
829	927	190
830	928	188
831	929	187
832	930	186
833	931	185
834	932	184
835	933	183
836	934	181
837	935	180
838	936	179
839	937	178
840	938	177
841	939	176
842	939	175
843	940	173
844	941	172
845	942	171
846	943	170
847	943	169
848	944	168
849	945	166
850	946	165
851	948	164
852	948	163
853	949	162
854	950	161
855	951	160
856	952	158
857	953	157
858	954	156
859	954	155
860	955	154
861	956	153
862	957	152
863	958	150
864	959	149
865	960	148
866	961	147
867	963	146
868	964	145
869	965	144
870	966	143
871	966	141
872	967	140
873	968	139
874	969	138
875	970	137
876	971	136
877	972	135
878	972	133
879	973	132
880	974	131
881	975	130
882	977	129
883	978	128
884	979	127
885	980	126
886	981	125
887	982	123
888	983	122
889	985	121
890	987	120
891	988	119
892	989	118
893	990	117
894	992	116
895	994	115
896	995	114
897	996	113
898	997	112
899	998	110
900	1001	110
901	1002	108
902	1004	107
903	1005	106
904	1005	105
905	1006	104
906	1007	103
907	1009	102
908	1010	101
909	1011	100
910	1013	98
911	1014	97
912	1015	96
913	1016	95
914	1017	94
915	1018	93
916	1019	92
917	1020	91
918	1020	89
919	1021	88
920	1023	87
921	1024	86
922	1025	85
923	1026	84
924	1027	83
925	1028	82
926	1030	81
927	1031	80
928	1033	78
929	1034	77
